date,currency,dvol
2021-03-24,BTC,95.04
2021-03-24,ETH,106.73
2021-03-25,BTC,89.74
2021-03-25,ETH,105.39
2021-03-26,BTC,84.52
2021-03-26,ETH,90.27
2021-03-27,BTC,79.69
2021-03-27,ETH,87.46
2021-03-28,BTC,79.07
2021-03-28,ETH,84.22
2021-03-29,BTC,83.71
2021-03-29,ETH,88.24
2021-03-30,BTC,85.08
2021-03-30,ETH,89.19
2021-03-31,BTC,86.45
2021-03-31,ETH,93.88
2021-04-01,BTC,82.38
2021-04-01,ETH,89.09
2021-04-02,BTC,81.28
2021-04-02,ETH,94.81
2021-04-03,BTC,81.29
2021-04-03,ETH,95.17
2021-04-04,BTC,82.42
2021-04-04,ETH,93.72
2021-04-05,BTC,80.22
2021-04-05,ETH,91.94
2021-04-06,BTC,81.01
2021-04-06,ETH,92.31
2021-04-07,BTC,78.78
2021-04-07,ETH,88.32
2021-04-08,BTC,74.31
2021-04-08,ETH,86.21
2021-04-09,BTC,77.07
2021-04-09,ETH,84.58
2021-04-10,BTC,81.54
2021-04-10,ETH,90.53
2021-04-11,BTC,82.61
2021-04-11,ETH,93.35
2021-04-12,BTC,84.5
2021-04-12,ETH,96.81
2021-04-13,BTC,88.64
2021-04-13,ETH,102.2
2021-04-14,BTC,83.85
2021-04-14,ETH,94.57
2021-04-15,BTC,77.08
2021-04-15,ETH,89.72
2021-04-16,BTC,77.67
2021-04-16,ETH,85.47
2021-04-17,BTC,74.43
2021-04-17,ETH,83.47
2021-04-18,BTC,88.4
2021-04-18,ETH,97.12
2021-04-19,BTC,83.2
2021-04-19,ETH,93.87
2021-04-20,BTC,82.96
2021-04-20,ETH,94.36
2021-04-21,BTC,83
2021-04-21,ETH,92.71
2021-04-22,BTC,87.39
2021-04-22,ETH,91.92
2021-04-23,BTC,89.31
2021-04-23,ETH,94.38
2021-04-24,BTC,94.08
2021-04-24,ETH,100.44
2021-04-25,BTC,93.46
2021-04-25,ETH,101.64
2021-04-26,BTC,82.66
2021-04-26,ETH,91.39
2021-04-27,BTC,77.53
2021-04-27,ETH,92.29
2021-04-28,BTC,76.96
2021-04-28,ETH,88.95
2021-04-29,BTC,80.2
2021-04-29,ETH,94.2
2021-04-30,BTC,75.09
2021-04-30,ETH,95.97
2021-05-01,BTC,76.15
2021-05-01,ETH,98
2021-05-02,BTC,79.09
2021-05-02,ETH,95.95
2021-05-03,BTC,81.79
2021-05-03,ETH,111.48
2021-05-04,BTC,87.96
2021-05-04,ETH,116.77
2021-05-05,BTC,84.39
2021-05-05,ETH,117.82
2021-05-06,BTC,82.14
2021-05-06,ETH,115.85
2021-05-07,BTC,80.56
2021-05-07,ETH,109.35
2021-05-08,BTC,83.57
2021-05-08,ETH,113.49
2021-05-09,BTC,86.05
2021-05-09,ETH,115.12
2021-05-10,BTC,90.26
2021-05-10,ETH,124.28
2021-05-11,BTC,86.27
2021-05-11,ETH,127.51
2021-05-12,BTC,93.86
2021-05-12,ETH,132.93
2021-05-13,BTC,92.9
2021-05-13,ETH,124.53
2021-05-14,BTC,98.46
2021-05-14,ETH,125.3
2021-05-15,BTC,102.85
2021-05-15,ETH,128.69
2021-05-16,BTC,105.28
2021-05-16,ETH,129.27
2021-05-17,BTC,123.02
2021-05-17,ETH,131.11
2021-05-18,BTC,117.01
2021-05-18,ETH,129.27
2021-05-19,BTC,124.83
2021-05-19,ETH,158.27
2021-05-20,BTC,119.77
2021-05-20,ETH,181.68
2021-05-21,BTC,139.98
2021-05-21,ETH,185.12
2021-05-22,BTC,140.05
2021-05-22,ETH,186.76
2021-05-23,BTC,156.2
2021-05-23,ETH,193.34
2021-05-24,BTC,125.12
2021-05-24,ETH,165.51
2021-05-25,BTC,129.11
2021-05-25,ETH,167.01
2021-05-26,BTC,117.02
2021-05-26,ETH,162.34
2021-05-27,BTC,107.26
2021-05-27,ETH,161.07
2021-05-28,BTC,122.55
2021-05-28,ETH,170.2
2021-05-29,BTC,129.3
2021-05-29,ETH,173.12
2021-05-30,BTC,123.61
2021-05-30,ETH,156.16
2021-05-31,BTC,106.47
2021-05-31,ETH,148.59
2021-06-01,BTC,108.23
2021-06-01,ETH,149.88
2021-06-02,BTC,103.17
2021-06-02,ETH,145.1
2021-06-03,BTC,99.19
2021-06-03,ETH,140.76
2021-06-04,BTC,102.91
2021-06-04,ETH,138.64
2021-06-05,BTC,108.52
2021-06-05,ETH,140.87
2021-06-06,BTC,105.93
2021-06-06,ETH,138.32
2021-06-07,BTC,108.32
2021-06-07,ETH,138.24
2021-06-08,BTC,111.04
2021-06-08,ETH,141.21
2021-06-09,BTC,105.82
2021-06-09,ETH,133.27
2021-06-10,BTC,99.46
2021-06-10,ETH,125.64
2021-06-11,BTC,97.22
2021-06-11,ETH,122.64
2021-06-12,BTC,99.39
2021-06-12,ETH,122.26
2021-06-13,BTC,102.86
2021-06-13,ETH,123.11
2021-06-14,BTC,98.88
2021-06-14,ETH,119.31
2021-06-15,BTC,96.77
2021-06-15,ETH,110.35
2021-06-16,BTC,95.25
2021-06-16,ETH,109.16
2021-06-17,BTC,95.28
